session_id,project_id,user_id,proj_name,user_status
1469,45,1494,PSA1_ENG_USA_031,guest
1473,45,1504,PSA1_ENG_USA_031,guest
1474,45,1506,PSA1_ENG_USA_031,guest
1479,1,1515,PSA1_ENG_test,guest
1482,117,1517,PSA1_GER_GER_015,guest
1493,117,1530,PSA1_GER_GER_015,guest
1495,117,1535,PSA1_GER_GER_015,guest
1497,117,1533,PSA1_GER_GER_015,guest
1498,117,1534,PSA1_GER_GER_015,guest
1502,115,1540,PSA1_GER_GER_012,guest
1507,30,1541,PSA1_ENG_UK_024,guest
1509,26,1546,PSA1_ENG_UK_022,guest
1511,26,1547,PSA1_ENG_UK_022,guest
1519,77,1554,PSA1_ITA_ITA_001,guest
1520,30,1541,PSA1_ENG_UK_024,guest
1522,90,1557,PSA1_SPA_test,guest
1531,57,1567,PSA1_ENG_USA_113,guest
1536,45,1572,PSA1_ENG_USA_031,guest
1538,45,1571,PSA1_ENG_USA_031,guest
1541,57,1578,PSA1_ENG_USA_113,guest
1543,57,1579,PSA1_ENG_USA_113,guest
1549,111,1582,PSA1_GER_GER_017,guest
1554,78,1588,PSA1_ITA_ITA_001,guest
1556,117,1590,PSA1_GER_GER_015,guest
1557,78,1591,PSA1_ITA_ITA_001,guest
1563,45,1596,PSA1_ENG_USA_031,guest
1566,36,1602,PSA1_ENG_PSA_001,guest
1567,36,1604,PSA1_ENG_PSA_001,guest
1572,112,1611,PSA1_GER_AUT_001,guest
1578,78,1617,PSA1_ITA_ITA_001,guest
1582,77,1621,PSA1_ITA_ITA_001,guest
1583,77,1622,PSA1_ITA_ITA_001,guest
1586,78,1625,PSA1_ITA_ITA_001,guest
1587,77,1626,PSA1_ITA_ITA_001,guest
1590,30,1629,PSA1_ENG_UK_024,guest
1592,73,1630,PSA1_FRE_FRA_004,guest
1593,1,1632,PSA1_ENG_test,guest
1595,9,1634,PSA1_ENG_CAN_008,guest
1599,46,1642,PSA1_ENG_USA_075,guest
1601,46,1645,PSA1_ENG_USA_075,guest
1602,46,1648,PSA1_ENG_USA_075,guest
1610,1,1654,PSA1_ENG_test,guest
1612,106,1656,PSA1_ENG_UAE_001,guest
1614,78,1658,PSA1_ITA_ITA_001,guest
1617,119,1661,PSA1_NOR_test,guest
1618,115,1662,PSA1_GER_GER_012,guest
1622,30,1665,PSA1_ENG_UK_024,guest
1629,111,1666,PSA1_GER_GER_017,guest
1631,26,1672,PSA1_ENG_UK_022,guest
1635,57,1676,PSA1_ENG_USA_113,guest
1636,57,1677,PSA1_ENG_USA_113,guest
1637,57,1679,PSA1_ENG_USA_113,guest
1638,57,1680,PSA1_ENG_USA_113,guest
1640,30,1681,PSA1_ENG_UK_024,guest
1641,57,1682,PSA1_ENG_USA_113,guest
1642,57,1683,PSA1_ENG_USA_113,guest
1645,57,1686,PSA1_ENG_USA_113,guest
1648,57,1735,PSA1_ENG_USA_113,guest
1654,45,1738,PSA1_ENG_USA_031,guest
1658,40,1742,PSA1_ENG_USA_050,guest
1660,40,1746,PSA1_ENG_USA_050,guest
1661,117,1748,PSA1_GER_GER_015,guest
1662,73,1747,PSA1_FRE_FRA_004,guest
1663,70,1749,PSA1_FRE_test,guest
1665,73,1751,PSA1_FRE_FRA_004,guest
1668,73,1754,PSA1_FRE_FRA_004,guest
1669,117,1755,PSA1_GER_GER_015,guest
1670,73,1756,PSA1_FRE_FRA_004,guest
1672,112,1759,PSA1_GER_AUT_001,guest
